,Name,PlantType,Color,HardinessZones,BloomsIn,Height,SunNeeds,WaterNeeds,Maintenance
26,Brugmansia (Angel's Trumpet),"Shrubs, Trees","The flowers come in shades of white, yellow, pink, orange and red.",8-11,"Autumn, Winter, Summer",The species range in size from 90 cm (3 ft) to 8 m (26 ft) tall.,"Full sun, Partial sun",avarage,low
27,Buddleia (Butterfly Bush),"Shrubs, Trees","The flowers come in shades of purple, blue, white, pink or red.",5-10,"Autumn, Summer","The plant can grow between 30 cm (1 ft) and 5 metres (16 ft) high, depending on species.",Full sun,avarage,low
28,Calendula (Marigold),"Annuals, Herbs, Perennials",Calendula flowers are usually yellow and orange.,2-11,"Spring, Autumn, Winter, Summer","The plant may grow from 30 to 60 cm (1-2 ft) in height, depending on the variety and soil conditions.","Full sun, Partial sun",avarage,low
29,Calluna (Heather; Common Heather; Scottish Heather),Shrubs,"This flower comes in shades of red, purple, pink and white.",4-6,Summer,This plant grows between 30 to 60 cm (1-2 ft) tall.,Full sun,avarage,low
30,Camellia (Camellia),"Shrubs, Trees","Camellia offers a large palette of colors, from white to yellow, pink red and purple.",6-10,"Spring, Autumn, Winter","Although its a slow grower, Camellia reaches a height of 1-6 metres (3-20 ft).","Partial sun, Shade",avarage,low
31,Campanula (Bellflower),"Annuals, Perennials","Depending on the species, Campanula produces white, blue, purple, pink or lilac bells.",3-9,"Spring, Autumn, Summer","Some species grow just 5 to 10 cm (a few inches) tall, while others can grow 2 metres (6 ft) in height.","Full sun, Partial sun",avarage,low
32,Canna (Canna Lily),"Bulbs, Perennials","The flowers come in various colors, including red, orange, pink, yellow, cream and white.",7-11,"Autumn, Summer",The species vary in height from 90 cm (3 ft) to 3 m (10 ft).,Full sun,avarage,medium
33,Celosia (Celosia),"Annuals, Perennials","The flowers can be purple, red, orange, pink, gold, yellow and white.",2-12,"Autumn, Summer",The plants range from dwarf species to the larger varieties that grow up to 150 cm (5 ft) high.,Full sun,avarage,low
34,Centaurea (Cornflower; Bachelor's Button; Basket Flower),"Annuals, Perennials","The flowers are traditionally blue in color but are also available in purple, pink, yellow and white.",2-11,"Spring, Summer",Centaurea can reach 30 to 90 cm (1 to 3 ft) in height.,"Full sun, Partial sun",avarage,low
35,Chrysanthemum (Mum),Perennials,"The flowers come in a rainbow of colors, but the most common are red, yellow, white and purple.",4-11,"Spring, Autumn",Chrysanthemums range in size from 30 cm (1 ft) to 120 cm (4 ft).,Full sun,avarage,medium
36,Cistus (Rock Rose),"Perennials, Shrubs","The flowers come in shades of purple, pink and white.",7-11,"Spring, Summer","Rock Rose can grow up to 4 m (13 ft) in height, depending on species. Cistus ladanifer, also known as Gum Cistus, can reach a height of 4 m (13 ft), but is more commonly 1 to 2 m (3 to 6 ft) tall.",Full sun,low,low
37,Clarkia (Godetia),Annuals,"These flowers come in a range of colors including red, purple, pink, orange and white.",3-10,"Autumn, Summer",This plant can reach up to 150 cm (5 ft) tall.,"Full sun, Partial sun",low,low
38,Claytonia (Spring Beauty),"Annuals, Bulbs, Perennials","The flowers come in shades of white, pink, purple and red.",3-9,"Spring, Winter, Summer",This plant can grow up to 30 cm (1 ft) tall.,"Full sun, Partial sun",avarage,low
39,Clematis (Travellers Joy; Old Man's Beard),"Climbers, Perennials, Shrubs",These flowers offer a wide range of different colors.,3-11,"Spring, Autumn, Winter, Summer",The species range in size from 30 cm (1 ft) to 12 metres (40 ft).,"Full sun, Partial sun",avarage,low
40,Clerodendrum (Glorybower; Bagﬂower),"Climbers, Shrubs, Trees","The flowers come in various colors including red, purple, orange, pink, yellow, cream and white.",7-11,"Spring, Autumn, Winter, Summer","The plant usually grows from 90 cm (3 ft) to 12 m (40 ft) tall. Some species, such as Clerodendrum loribundum, can grow to 30 m (98 ft) in height.","Full sun, Partial sun",avarage,medium
41,Convallaria (Lily of the Valley),"Bulbs, Perennials","Convallaria blooms are usually white, but sometimes pink.",2-9,"Spring, Summer",Convallaria reaches about 30 cm (1 ft) in height.,"Partial sun, Shade",avarage,low
42,Coreopsis (Tickseed; Calliopsis),"Annuals, Perennials","Although usually yellow in color, these flowers come in different colors including red, orange, pink, maroon,  lavender. Bi-colored flowers are also possible.",3-10,"Autumn, Summer",The different varieties of this plant range in height from 15 cm (6 inches) to 120 cm (4 ft).,Full sun,avarage,low
43,Cosmos (Cosmos),Annuals,"These flowers come in amazing variety of bright colors, from pink, orange and scarlet to yellow and white.",2-11,"Autumn, Summer",Cosmos can grow between 30-120 cm (1-4 ft) tall.,Full sun,avarage,low
44,Crocosmia (Montbretia),"Bulbs, Perennials","These flowers are usually in shades of red and orange, but can also be yellow.",5-10,"Autumn, Summer",The plant can grow up to 60 cm (2 ft) tall.,"Full sun, Partial sun",avarage,low
45,Crocus (Crocus),Bulbs,"These flowers are white, cream, yellow, blue and purple, and there are even striped varieties.",3-9,"Spring, Autumn, Winter",Crocus can reach between 20 cm (8 inches) and 30 cm (12 inches) in height.,"Full sun, Partial sun",avarage,low
46,Cyclamen (Sowbread),"Bulbs, Perennials","The flowers are usually white, red, rose, purple or pink.",4-9,"Autumn, Winter",Cyclamens are relatively small plants growing up to 15 cm (6 inches) in height.,Partial sun,avarage,low
47,Cymbidium (Cymbidium),Perennials,"Cymbidium comes in various colors such as white, green, yellow, brown, orange, pink and red.",5-10,"Spring, Autumn, Winter","Cymbidium range in size, from dwarf species to some reaching 1,5 metres (5 ft) in height.",Partial sun,avarage,low
48,Dahlia (Dahlia),"Bulbs, Perennials","Dahlias bloom in all colors, except blue.",3-11,"Autumn, Summer","The species vary in height, from the 40 cm (1 ft) right up to 2 metres (7 ft).",Full sun,avarage,medium
49,Datura (Devil's Trumpet),"Annuals, Perennials","The flowers are usually white, but may be yellow, pink and purple.",5-11,"Spring, Autumn, Summer",These plants can reach up to 2 m (7 ft) in height.,"Full sun, Partial sun",avarage,low
50,Delosperma (Ice Plant),"Cactus - Succulents, Perennials","Delosperma comes in many colors including red, purple, orange, pink, yellow and white.",5-10,"Spring, Autumn, Summer",The plant grows up to 15 cm (6 inches) in height.,Full sun,low,low
51,Delphinium (Larkspur),Perennials,"Delphiniums come in several colors, including blue, red, pink, white, violet, and yellow, but blue is the most common.",3-7,"Autumn, Summer",The flower spikes can reach 30 cm to 180 cm (1 to 6 ft) tall.,"Full sun, Partial sun",avarage,medium
52,Deutzia (Deutzia),Shrubs,"Most species are white, but some are pink or red.",4-8,"Spring, Summer",The species range in height from 30 cm (1 ft) to 4 metres (13 ft).,"Full sun, Partial sun",avarage,low
53,Dianthus (Carnation; Pink; Sweet William),"Annuals, Perennials, Shrubs","The flowers come in shades of red, pink, purple and white or combinations of these colours. Cultivated species are available in a wider range of colors.",5-9,"Spring, Autumn, Summer",Their height range from just 10 cm to 90 cm (4 inches to 3 ft).,"Full sun, Partial sun",avarage,low
54,Diascia (Twinspur),"Annuals, Perennials","The flowers come in shades of pink, purple, orange, and white, each with a contrasting yellow throat.",7-11,"Spring, Autumn, Summer",The plant grows between 30 cm (1 ft) and 60 cm (2 ft) in height.,"Full sun, Partial sun",avarage,low
55,Dicentra (Bleeding Heart),Perennials,"The flowers are usually red, pink and white.",2-9,"Spring, Summer",Dicentra can reach up to 90 cm (3 ft) in height.,"Partial sun, Shade",avarage,low
56,Dietes (Dietes),Perennials,"The flowers are white to creamy yellow in color, with brown, yellow and purple markings on the tepals.",8-11,"Spring, Autumn, Winter, Summer",This plant grows up to 150 cm (5 ft) tall.,"Full sun, Partial sun",avarage,low
57,Digitalis (Foxglove),Perennials,"These flowers appear in shades of white, yellow, pink, red and purple.",4-9,"Spring, Summer","Foxgloves are tall beauties which can grow up to 180 cm (6 ft), depending on variety.","Full sun, Partial sun, Shade",avarage,low
58,Dracula (Monkey Orchid),Perennials,"These flowers come in various colors, such as red, purple, lavender, yellow and white. They range from nearly black to white.",9-11,"Spring, Autumn, Winter, Summer",The plant can grow up to 60 cm (2 ft) tall.,Partial sun,avarage,medium
59,Dryas (Mountain Avens; Holtasoley),"Perennials, Shrubs","These flowers are usually white or cream, with yellow centre.",3-9,"Spring, Summer","Dryas is a small plant, growing only 20 cm (8 inches) in height.","Full sun, Partial sun",avarage,medium
60,Echeveria (Hen and Chicks),Cactus - Succulents,Echeveria has beautiful leaves and stunning flowers in a large variety of colors.,9-11,"Spring, Autumn, Winter, Summer",The species can grow from 10 cm to 60 cm (4 inches to 2 ft) high.,"Full sun, Partial sun",low,low
61,Echinacea (Coneflower),Perennials,"These flowers come in shades of white, yellow, orange, pink, purple, red and brown, depending on variety. The most common are the purple ones.",3-10,Summer,Coneflowers will grow between 30 cm (1 ft) and 120 cm (4 ft) tall.,"Full sun, Partial sun",low,low
62,Echinops (Globe Thistle),Perennials,"The flowers are mostly blue, but you can also find them in white, purple and blue-grey. Their long stems are gray-green in color.",3-9,Summer,"The plant can grow from 50 cm to 1,5 metres (2 to 5 ft) in height.","Full sun, Partial sun",avarage,low
63,Emilia (Tassel Flower),Annuals,"The flowers come in shades of purple, red and orange.",3-10,"Autumn, Summer","These plants usually grow from 30 cm (1 ft) to 60 cm (2 ft), and possibly up to 90 cm (3 ft) tall, depending on species.",Full sun,avarage,low
64,Epimedium (Barrenwort; Bishop's hat; Horny Goat Weed),Perennials,"These flowers come in many stunning colors, including white, red, pink, purple, yellow and orange, as well as bi-colored varieties.",4-9,"Spring, Autumn, Winter, Summer",The plant can grow up to 60 cm (2 ft) in height.,"Partial sun, Shade",avarage,low
65,Epiphyllum (Orchid Cactus),Cactus - Succulents,"The flowers are usually white, sometimes with yellow or pink sepals. However, most Epiphyllums grown today are hybrids and may be red, purple, pink, orange and yellow.",10-12,"Spring, Summer",Epiphyllum can reach 10 m (30 ft) in height.,"Full sun, Partial sun",avarage,medium
66,Eranthis (Winter Aconite),"Bulbs, Perennials","The flowers are yellow in most species, with some species being white flowered.",3-9,"Spring, Winter","These low growing plants can reach a maximum height of 20 cm (8 inches), but usually they are much smaller.","Full sun, Partial sun",avarage,low
67,Eremurus (Foxtail Lily; Desert Candle),Perennials,"Flower clusters are covered with orange, pink, yellow and white blossoms.",5-9,"Spring, Summer","Foxtail Lilies are tall plants that reach 2,5 metres (8ft) or less in height, depending on the species.",Full sun,avarage,low
68,Eryngium (Sea Holly),"Annuals, Perennials","Eryngiums are usually blue, purple, green or whitish.",3-9,"Autumn, Summer","They can range from 30 cm (1 ft) to 150 cm (5 ft) tall, depending on the species.",Full sun,low,low
69,Erysimum (Wallflower),"Annuals, Perennials, Shrubs","These flowers are usually yellow, but may also be red, orange and mauve.",6-10,"Spring, Autumn, Summer",Erysimum can grow up to 90 cm (3 ft) high.,Full sun,avarage,low
70,Erythronium (Fawn Lily),"Bulbs, Perennials","The flowers come in shades of yellow, purple, pink, red and white.",3-9,Spring,Erythronium can grow up to 60 cm (2 ft) in height.,Partial sun,avarage,low
71,Eschscholzia (Golden Poppy),"Annuals, Perennials",Their color ranges from yellow to orange.,6-10,"Spring, Autumn, Winter, Summer","The plants grow up to 30 cm (1 ft) tall, but some species have been known to grow taller.",Full sun,low,low
72,Euphorbia (Spurge),"Annuals, Cactus - Succulents, Perennials, Shrubs, Trees",The bracts come in almost every color imaginable. The real flowers are tiny and usually yellow in color.,4-11,"Spring, Autumn, Winter, Summer",The species range in size from 30 cm to 20 metres (1 ft to 66 ft) tall.,"Full sun, Partial sun",low,low
73,Eustoma (Lisianthus; Prairie Gentian),"Annuals, Perennials","The flowers come in white, cream, blue, purple, pink and lilac.",8-11,"Autumn, Summer","Depending on the variety, Eustoma will grow from 15 cm (6 inches) to 80 cm (3 ft) in height.","Full sun, Partial sun",avarage,medium
74,Felicia (Blue Daisy; Marguerite Daisy),"Annuals, Perennials, Shrubs","The flowers are blue, white, lilac or purple. Most of them have yellow centers, with the exception of the Felicia heterophylla which is all-blue in color.",8-11,"Spring, Autumn, Summer",The species can grow up to 50 cm (20 inches) in height.,Full sun,avarage,low
75,Forsythia (Golden Bell),Shrubs,The flowers are yellow in color.,4-9,Spring,"Forsythia grows between 60 cm (2 ft) and 6 metres (20 ft) tall, depending on species.","Full sun, Partial sun",avarage,low
76,Freesia (Freesias),"Bulbs, Perennials","Freesia comes in white, yellow, orange, red, pink, mauve, lavender and purple colors.",9-10,"Spring, Autumn, Summer",Freesia can grow up to 40 cm (1 ft) tall.,"Full sun, Partial sun",avarage,low
77,Fritillaria (Checkered Lily; Snakes Head; Crown Imperial),"Bulbs, Perennials","Fritillaria comes in variety of colors, from bright yellow to orange, green and deep red.",4-8,Spring,"Fritillaria can reach 30 cm to 1,5 metres (1-5 ft) in height, depending on variety.","Full sun, Partial sun",avarage,low
78,Fuchsia (Lady's eardrop),"Shrubs, Trees","Fuchsia develops white, yellow, orange, red and purple colored flowers, composed of red sepals and purple petals.",6-11,"Autumn, Summer","Fuchsia can grow from 15 cm (6 inches) to 15 metres (50 ft) in height, depending on species.","Full sun, Partial sun",avarage,low
79,Gaillardia (Blanket Flower),"Annuals, Perennials","The flowers come in various shades of red, orange, yellow, purple and brown. The bicolor blooms are pretty intense.",2-10,"Autumn, Summer",Plants belonging to the Gaillardia genus range in height from 15 cm (6 inches) to 90 cm (3 ft).,Full sun,low,low
80,Galanthus (Snowdrops),"Bulbs, Perennials","Unlike many other flowers, Galanthus only comes in one color - creamy white.",3-9,"Spring, Winter",These tiny flowers grow up to 25 cm (10 inches) high.,"Full sun, Partial sun",avarage,low
81,Gardenia (Gardenia),"Shrubs, Trees","The most of them are white (or a related color like ivory or cream), but some of them are yellow.",6-11,"Spring, Summer","Gardenia grows between 60 cm (2 ft) and 6 metres (20 ft) tall, depending on species.","Full sun, Partial sun",avarage,hard
82,Gazania (Treasure Flower),"Annuals, Perennials","The flowers come in shades of yellow, orange, pink, red and white. The colors of the petals are bright and unique.",8-11,"Spring, Autumn, Winter",The plant grows up to 30 cm (1 ft) high.,Full sun,low,low
83,Gentiana (Gentian),"Annuals, Perennials","Most of the species have beautiful, vivid blue flowers, but white, yellow, purple and red varieties are also available.",3-9,"Spring, Autumn, Summer",These plants range from dwarf species just 5 cm (2 inches) tall to the larger varieties that grow up to 90 cm (3 ft) in height.,"Full sun, Partial sun",avarage,low
84,Geranium (Cranesbills),"Annuals, Perennials","The flowers come in shades of white, red, blue, purple and pink.",2-10,"Spring, Autumn, Summer",These plants grow between 15 and 120 cm (6 inches to 4 ft) in height.,"Full sun, Partial sun",avarage,low
85,Gerbera (Gerbera),Perennials,"These flowers come in many different colors, except for blue.",8-11,"Spring, Autumn, Summer",The species are 20 to 45 cm (8-18 inches) tall. The flower heads vary from 7 to 12 centimeters (3 to 5 inches) in diameter.,"Full sun, Partial sun",avarage,low
86,Geum (Avens),Perennials,"Geum comes in various colors including white, yellow, orange, pink and red.",3-9,"Spring, Summer",The plant grows up to 60 cm (2 ft) tall.,"Full sun, Partial sun",avarage,low
87,Gladiolus (Gladiola; Sword lily),"Bulbs, Perennials","The flowers range from white, yellow, pink and lavender to red, purple and even green.",2-10,"Spring, Autumn, Summer",Gladiolus grows between 60 to 180 cm (2 to 6 ft) in height.,Full sun,avarage,low
88,Gloriosa (Flame Lily),"Annuals, Bulbs, Climbers, Perennials","The flowers come in shades of red, orange, pink and yellow.",8-11,"Spring, Autumn, Summer","Gloriosa usually grows to about 3 m (10 ft), but sometimes reaches more than 3 m (10 ft) in height and requires a trellis or wall to climb on. Some species, such as Gloriosa lutea (Gloriosa Lily), are smaller in size.","Full sun, Partial sun",avarage,medium
89,Gomphrena (Gomphrena),"Annuals, Perennials","The flowers come in various colors including white, yellow, pink, orange, red and purple.",2-11,"Spring, Autumn, Summer","These beautiful plants can reach up to 90 cm (3 ft) in height, but most of the species are smaller than that.",Full sun,avarage,low
90,Grevillea (Spider Flower; Silky Oak),"Shrubs, Trees","Grevillea may be red, yellow, orange, purple and white.",9-11,"Spring, Autumn, Winter, Summer",The species range from small shrubs around 50 cm (20 inches) high to large trees up to 35 metres (115 ft) tall.,"Full sun, Partial sun",low,low
91,Gypsophila (Baby's Breath),"Annuals, Perennials",The plants have small white or pink flowers.,3-9,"Spring, Summer",Gypsophila range in size from 15 cm (6 inches) to 1 m (30 ft) tall.,Full sun,low,low
92,Hamamelis (Witch Hazel),"Shrubs, Trees",Hamamelis flowers range in color from deep red to yellow.,3-9,"Spring, Autumn, Winter","The plant grows between 150 cm (5 ft) and 8 m (26 ft) in height, depending on the species.","Full sun, Partial sun",avarage,low
93,Helenium (Sneezeweed),"Annuals, Perennials","Helenium flowers come in shades of yellow, orange, red and brown.",3-8,"Autumn, Summer",Helenium grows up to 150 cm (5 ft) tall.,Full sun,avarage,medium
94,Helianthus (Sunflower),"Annuals, Perennials","Although yellow is the original color, Sunflowers also come in shades of cream, red, orange and purple that contrast with deep brown centers.",3-9,"Autumn, Summer","Although there are some dwarf species that grow 30-60 cm (1-2 ft) tall, Sunflowers are usually tall plants which can grow up to 3 metres (10 ft) in height.",Full sun,avarage,low
95,Heliconia (Lobster Claw; False Bird of Paradise),Perennials,"The colors of the flowers range in hues of red, orange, pink, yellow and green.",9-11,"Spring, Autumn, Summer","Heliconias can vary in height from as small as 60 cm (2 ft) to 6 metres (20 ft), depending on species.","Full sun, Partial sun",avarage,low
96,Helleborus (Hellebore; Christmas Rose),Perennials,"The flowers come in various colors, from purple to pink, green, yellow, white and even black.",4-9,"Spring, Winter","They range in size from 30 cm (1 ft) to 1,2 metres (4 ft) tall.","Partial sun, Shade",avarage,low
97,Hibiscus (Rose mallow),"Annuals, Perennials, Shrubs, Trees","The flowers come in a variety of colors, from red, orange, pink and yellow to white, purple and blue.",4-11,"Autumn, Summer",These beauties can reach heights up to 4 metres (13 ft).,"Full sun, Partial sun",avarage,low
98,Hippeastrum (Amaryllis),Bulbs,"Hippeastrum comes in red, pink, salmon, orange, white, yellow and pale green colors.",2-10,"Spring, Winter, Summer",Hippeastrum grows from 30 cm to 90 cm (1 to 3 ft) high.,"Full sun, Partial sun",avarage,low
99,Hosta (Plantain Lily),Perennials,"These flowers are usually white, whitish with lavender lines or even purple.",3-9,"Spring, Autumn, Summer","Some varieties are short, while some can grow up to 180 cm (6 ft) tall.","Partial sun, Shade",avarage,low
100,Hoya (Wax Plant),"Climbers, Perennials, Shrubs","The flowers are mostly white, but are also available in shades of pink, red, purple, orange and green.",8-12,"Spring, Autumn, Winter, Summer",Hoya plants range in size from 10 cm (4 inches) to 3 meters (10 ft) in height.,"Full sun, Partial sun",avarage,low
101,Hyacinthus (Hyacinth),Bulbs,"Hyacinth comes in many color varieties, such as purple, blue, white, yellow, red, pink and orange.",4-8,Spring,Hyacinth can grow up to 30 cm (1 ft) in height.,"Full sun, Partial sun",avarage,low
102,Hydrangea (Hortensia),"Climbers, Shrubs, Trees","The flowers come in shades of blue, purple, white, pink and red.",3-9,"Spring, Autumn, Summer","The species range in size from 60 cm to 12 metres (2 ft to 40 ft) in height, depending on species.",Partial sun,avarage,low
103,Hypericum (St. John’s Wort),"Annuals, Perennials, Shrubs, Trees",The flowers are generally yellow.,4-9,"Spring, Autumn, Summer","Hypericum can reach a height between 30 cm (1 ft) and 2 m (7 ft), depending on species.","Full sun, Partial sun",avarage,low
104,Hypoxis (Star Grass),Perennials,The flowers are bright yellow in color.,5-10,"Spring, Summer",Hypoxis plants usually grow to a height of 20 cm (8 inches).,"Full sun, Partial sun",low,low
105,Hyssopus (Hyssop),"Perennials, Shrubs","The flowers are usually purple and blue, or rarely pink and white.",3-10,"Spring, Autumn, Summer",The plant usually grows to a height of 60 cm (2 ft).,"Full sun, Partial sun",avarage,low
106,Iberis (Candytuft),"Annuals, Perennials, Shrubs","The flowers are usually white, but can also be pink or lilac.",3-9,"Spring, Summer",The plant can reach a height between 15 cm (6 inches) and 30cm (1 ft).,Full sun,avarage,medium
107,Impatiens (Jewelweed; Touch-me-not; Busy Lizzy),"Annuals, Perennials","These flowers are available in a variety of colors including blue, purple, orange, red, pink, white and yellow.",8-12,"Spring, Autumn, Summer",They are short plants that usually don't grow larger than 30 cm (1 ft).,"Partial sun, Shade",avarage,low
108,Ipomoea (Morning Glory; Kangkung),"Annuals, Climbers, Perennials, Shrubs, Trees","The flowers come in many colors including white, red, blue, purple and yellow.",2-11,"Spring, Autumn, Summer","These plants vary in size from 20 cm (8 inches) to 4,5 metres (15 ft) in height.",Full sun,avarage,low
109,Iris (Iris),Perennials,"Iris comes in a rainbow of colors including blue, purple, white, yellow, pink, orange, brown, red and black.",3-9,"Spring, Autumn, Winter, Summer","Irises are available in different sizes, which range from dwarf species (5 cm or 2 inches) to much larger varieties (130 cm or 4 ft).","Full sun, Partial sun",avarage,low
110,Ixora (Jungle Flame; Flame of the Woods),"Shrubs, Trees","Ixora comes in bright red, orange, pink, yellow and white colors. The red color is the most common color.",9-11,"Spring, Summer",Ixora grows up to 200 cm (7 ft) in height.,"Full sun, Partial sun",avarage,low
111,Jacaranda (Jacaranda),"Shrubs, Trees",These flowers come in shades of purple and blue.,9-11,"Spring, Summer","These plants grow between 1 and 10 metres (3-32 ft) tall, depending on species.","Full sun, Partial sun",avarage,low
112,Jasione (Jasione),"Annuals, Perennials","The flowers are blue or purple in color,",4-9,"Spring, Autumn, Summer",Jasione can grow up to 50 cm (2 ft) in height.,"Full sun, Partial sun",avarage,low
